stop_name,parent_station,zone_id,stop_id,stop_desc,stop_lat,stop_lon,location_type,platform_code
Annapoorneshwarinagara 3rd Main Road,,ANPNC1,22688,Annapoorneshwarinagara 3rd Main Road (Towards Srigandhada Kaval),12.97811,77.50446,,
Anupama School,,ANPMS1,40681,Anupama School (Towards Andhrahalli ),13.01048,77.49493,,
Anupama School,,ANPMS1,40682,Anupama School (Towards Peenya 2nd Stage),13.01052,77.495,,
Arishinakunte,,ARSKT,29571,Arishinakunte (Towards Nelamangala),13.07971,77.42421,,
Atturu Layout,,ATL1,21675,Atturu Layout (Towards MS Palya),13.09774,77.56766,,
Atturu Layout,,ATL1,21676,Atturu Layout (Towards Yalahanka),13.09792,77.56753,,
Ayyappa Temple Jalahalli Cross,,AYPT,21688,Ayyappa Temple Jalahalli Cross (Towards Jalahalli Cross),13.04623,77.52243,,
Ayyappa Temple Jalahalli Cross,,AYPT,21689,Ayyappa Temple Jalahalli Cross (Towards Kammagondanahalli),13.0461,77.52231,,
B Channasandra Bridge(Ramamurthy Nagara Ring Road),,BCNDB1,20614,B Channasandra Bridge(Ramamurthy Nagara Ring Road) (Towards Tin Factory),13.01128,77.66242,,
B Channasandra Bridge(Ramamurthy Nagara Ring Road),,BCNDB1,21459,B Channasandra Bridge(Ramamurthy Nagara Ring Road) (Towards Babusabpalya),13.01354,77.66209,,
B Channasandra Bridge(Ramamurthy Nagara Ring Road),,BCNDB1,21695,B Channasandra Bridge(Ramamurthy Nagara Ring Road) (Towards Ramamurthy Nagara Police Station),13.01318,77.66272,,
B Channasandra Bridge(Ramamurthy Nagara Ring Road),,BCNDB1,22651,B Channasandra Bridge(Ramamurthy Nagara Ring Road) (Towards Hebbala),13.01124,77.66226,,
B Narayanapura,,BNAP,21696,B Narayanapura (Towards Hope Farm),13.00042,77.68444,,
B Narayanapura Ring Road,,BNPRD,20615,B Narayanapura Ring Road (Towards Marathihalli Bridge),12.99583,77.68417,,
B Narayanapura Ring Road,,BNPRD,20616,B Narayanapura Ring Road (Towards Hebbala),12.99589,77.68387,,
BEL Circle,,BELCRL,20636,BEL Circle (Towards Gangamma Circle),13.04639,77.55583,,
BEL Circle,,BELCRL,20637,BEL Circle (Towards Mathikere),13.0452,77.55669,,
BEL Circle,,BELCRL,21464,BEL Circle (Towards Goraguntepalya),13.04402,77.55489,,
BEL Market,,BELM,31947,BEL Market (Towards Gangamma Circle),13.0518,77.55189,,
BEL Market 1,,BELM,35683,BEL Market 1 (Towards BEL Circle),13.05192,77.5519,,
